,Subject,Data,Group,RM_Vals,Group_Coded
141,15,0.01010340814717542,Co,8,0
142,15,-0.011967878947218671,Co,9,0
143,15,0.0035796892830359623,Co,10,0
144,15,-0.0029500984654946467,Co,11,0
145,15,-0.008357868308344578,Co,12,0
146,15,0.01531465170573215,Co,13,0
147,15,-0.004973404912665987,Co,14,0
148,15,0.004973404912665987,Co,15,0
149,16,0.01783198488464271,Co,1,0
150,16,-0.0035398450483451038,Co,2,0
151,16,0.045308133980845974,Co,3,0
152,16,0.017016850872851347,Co,4,0
153,16,-0.019606902993731017,Co,5,0
154,16,0.002138102627313815,Co,6,0
155,16,-0.007645138167089949,Co,7,0
156,16,-0.009983906286325357,Co,8,0
157,16,-0.02291821007201696,Co,9,0
158,16,-0.025447447171150796,Co,10,0
159,16,-0.034550613706546045,Co,11,0
160,16,-0.052666213937497076,Co,12,0
161,16,-0.016505473558242462,Co,13,0
162,16,-0.014945748014725112,Co,14,0
163,16,0.014945748014725112,Co,15,0
164,17,0.047820827523594324,Co,1,0
165,17,0.022419904124909504,Co,2,0
166,17,0.005871490949888057,Co,3,0
167,17,0.00799165830457741,Co,4,0
168,17,0.04139330587599597,Co,5,0
169,17,0.0061951462955307166,Co,6,0
170,17,0.06247074497178035,Co,7,0
171,17,0.030383354746164465,Co,8,0
172,17,0.015507123077389722,Co,9,0
173,17,0.028020450493886434,Co,10,0
174,17,0.0629738264924963,Co,11,0
175,17,0.029275453003568923,Co,12,0
176,17,0.009601733705198214,Co,13,0
177,17,-0.03917925747544972,Co,14,0
178,17,0.039179257475449716,Co,15,0
179,18,0.005741170047534676,Co,1,0
180,18,0.0240240446211486,Co,2,0
181,18,0.05437730554377759,Co,3,0
182,18,0.0720215503099597,Co,4,0
183,18,-0.006897604173081336,Co,5,0
184,18,0.028604854088345916,Co,6,0
185,18,0.044663168578797874,Co,7,0
186,18,0.04339797098640988,Co,8,0
187,18,0.018013768080840924,Co,9,0
188,18,0.04445589870879879,Co,10,0
189,18,0.03513802680399099,Co,11,0
190,18,0.033709491269141356,Co,12,0
191,18,-0.0017275196419709836,Co,13,0
192,18,0.037185079705930366,Co,14,0
193,18,-0.037185079705930366,Co,15,0
194,19,-0.014620928597446368,Co,1,0
195,19,-0.02809686587317299,Co,2,0
196,19,0.011994835823599115,Co,3,0
197,19,0.014056333109465621,Co,4,0
198,19,-0.006153890953368154,Co,5,0
199,19,-0.007645717660642325,Co,6,0
200,19,0.04484250501300694,Co,7,0
201,19,0.018479501702253077,Co,8,0
202,19,-0.04522875143729868,Co,9,0
203,19,0.007616596530045386,Co,10,0
204,19,-0.03803827015671795,Co,11,0
205,19,0.02555274518800156,Co,12,0
206,19,-0.09023522377743082,Co,13,0
207,19,-0.027398738793080264,Co,14,0
208,19,0.02739873879308026,Co,15,0
209,20,-0.02547195862722846,Co,1,0
210,20,-0.12395404174054156,Co,2,0
211,20,-0.03274971211396308,Co,3,0
212,20,-0.01156192589880712,Co,4,0
213,20,0.010544588339081146,Co,5,0
214,20,-0.028425483422077496,Co,6,0
215,20,-0.0488293025235224,Co,7,0
216,20,-0.01531553133001495,Co,8,0
217,20,-0.03169235060843159,Co,9,0
218,20,-0.023937729204151614,Co,10,0
219,20,-0.04129929420318062,Co,11,0
220,20,-0.034313846756695215,Co,12,0
221,20,-0.055747433904193185,Co,13,0
222,20,0.023081858473736394,Co,14,0
223,20,-0.023081858473736394,Co,15,0
224,21,0.028592101067059325,Co,1,0
225,21,0.06612005316306166,Co,2,0
226,21,-0.08558591108915467,Co,3,0
227,21,0.009879737071137748,Co,4,0
228,21,0.018223866188579248,Co,5,0
229,21,-0.043009357258210146,Co,6,0
230,21,-0.026637215811637506,Co,7,0
231,21,0.02513645551554694,Co,8,0
232,21,-0.05388120404055562,Co,9,0
233,21,-0.07589919957068902,Co,10,0
234,21,0.015714206461682693,Co,11,0
235,21,-0.07374604156042146,Co,12,0
236,21,0.04486215289541576,Co,13,0
237,21,-0.006239138215632087,Co,14,0
238,21,0.006239138215632087,Co,15,0
239,22,-0.014339244667111253,Co,1,0
240,22,-0.02169614002343333,Co,2,0
241,22,-0.0074996371462868975,Co,3,0
