,Rand_Var,Data,Group,RM_Vals,Group_Coded
61,0,0.3373629463030644,sLTP,30,0
62,0,0.028113578858588697,sLTP,35,0
63,0,0.18976665729547373,sLTP,40,0
64,0,1.1526567332021367,sLTP,5,0
65,0,2.5302220972729828,sLTP,10,0
66,0,1.602473994939556,sLTP,15,0
67,0,1.7711554680910881,sLTP,20,0
68,0,1.5462468372223785,sLTP,25,0
69,0,1.6024739949395561,sLTP,30,0
70,0,0.8940118077031208,sLTP,35,0
71,0,0.562271577171774,sLTP,40,0
72,1,0.386657255960966,sLTP,5,0
73,1,0.5109399453769908,sLTP,10,0
74,1,0.7180777610703655,sLTP,15,0
75,1,0.349832755393255,sLTP,20,0
76,1,0.2209470034062663,sLTP,25,0
77,1,0.2209470034062663,sLTP,30,0
78,1,0.0,sLTP,35,0
79,1,0.0,sLTP,40,0
80,1,0.20253475312241076,sLTP,5,0
81,1,0.02209470034062663,sLTP,10,0
82,1,0.3038021296836162,sLTP,15,0
83,1,0.25777150397397736,sLTP,20,0
84,1,0.15466290238438643,sLTP,25,0
85,1,0.0662841010218799,sLTP,30,0
86,1,0.0,sLTP,35,0
87,1,0.0,sLTP,40,0
88,2,0.6549324600900531,sLTP,5,0
89,2,0.5275844817392096,sLTP,10,0
90,2,0.30407578504181043,sLTP,15,0
91,2,0.42979942693409745,sLTP,20,0
92,2,0.29471960704052397,sLTP,25,0
93,2,0.0,sLTP,30,0
94,2,0.0,sLTP,35,0
95,2,0.0,sLTP,40,0
96,2,1.0506208213944606,sLTP,5,0
97,2,0.7913767226088143,sLTP,10,0
98,2,0.5379802350739723,sLTP,15,0
99,2,0.8186655751125667,sLTP,20,0
100,2,0.6221858370855506,sLTP,25,0
101,2,0.73679901760131,sLTP,30,0
102,2,0.1637331150225133,sLTP,35,0
103,2,0.0,sLTP,40,0
104,2,0.6102779741748223,sLTP,5,0
105,2,0.5613706800771886,sLTP,10,0
106,2,0.49119934506754,sLTP,15,0
107,2,0.49119934506753987,sLTP,20,0
108,2,0.6549324600900532,sLTP,25,0
109,2,0.6549324600900532,sLTP,30,0
110,2,0.3274662300450266,sLTP,35,0
111,2,0.0,sLTP,40,0
112,2,0.35723588732184725,sLTP,5,0
113,2,0.6549324600900532,sLTP,10,0
114,2,0.3602128530495293,sLTP,15,0
115,2,0.49119934506754,sLTP,20,0
116,2,0.5321326238231683,sLTP,25,0
117,2,0.12279983626688498,sLTP,30,0
118,2,0.0,sLTP,35,0
119,2,0.0,sLTP,40,0
120,2,0.5321326238231683,sLTP,5,0
121,2,0.6847021173668738,sLTP,10,0
122,2,0.6549324600900532,sLTP,15,0
123,2,0.49119934506754,sLTP,20,0
124,2,0.5321326238231683,sLTP,25,0
125,2,0.5457770500750444,sLTP,30,0
126,2,0.49119934506754,sLTP,35,0
127,2,0.1637331150225133,sLTP,40,0
128,2,0.9278209851275755,sLTP,5,0
129,2,1.0642652476463366,sLTP,10,0
130,2,0.6783229050932695,sLTP,15,0
131,2,0.7859189521080638,sLTP,20,0
132,2,0.1637331150225133,sLTP,25,0
133,2,0.05457770500750444,sLTP,30,0
134,2,0.6549324600900532,sLTP,35,0
135,2,0.5321326238231683,sLTP,40,0
136,3,0.9459814557603514,sLTP,5,0
137,3,0.8108412477945868,sLTP,10,0
138,3,1.5541123916062916,sLTP,15,0
139,3,0.9121964037689103,sLTP,20,0
140,3,1.3739254476519391,sLTP,25,0
141,3,1.0304440857389543,sLTP,30,0
142,3,1.4696497616276887,sLTP,35,0
143,3,0.6757010398288223,sLTP,40,0
144,3,1.473028266826833,sLTP,5,0
145,3,1.978838759498694,sLTP,10,0
146,3,1.6385750215848944,sLTP,15,0
147,3,1.5203273396148504,sLTP,20,0
148,3,1.359848342655505,sLTP,25,0
149,3,0.0,sLTP,30,0
150,3,0.0,sLTP,35,0
151,3,0.0,sLTP,40,0
152,3,1.4865422876234091,sLTP,5,0
153,3,1.2162618716918803,sLTP,10,0
