,Group,Data,Rand_Var,Group_Coded
241,Apical,0.055314500074068636,3.0,0
242,Apical,0.018386215385278164,3.0,0
243,Apical,0.028810967585380206,3.0,0
244,Apical,0.03323297654705266,3.0,0
245,Apical,0.05761192182592597,3.0,0
246,Apical,0.02224451939711252,3.0,0
247,Apical,0.0138471734863793,3.0,0
248,Apical,0.018718446558642868,3.0,0
249,Apical,0.02200847658960114,3.0,0
250,Apical,0.04745844301467565,3.0,0
251,Apical,0.009170265304296862,3.0,0
252,Apical,0.058631969434708095,3.0,0
253,Apical,0.013441777444318998,3.0,0
254,Apical,0.018121417365622908,3.0,0
255,Apical,0.019216241801132235,3.0,0
256,Apical,0.07646956003295642,3.0,0
257,Apical,0.01345073814291102,3.0,0
258,Apical,0.030267920607629617,3.0,0
259,Apical,0.014099650322592052,3.0,0
260,Apical,0.007551114583631086,3.0,0
261,Apical,0.011556264782395138,3.0,0
262,Apical,0.015744571384332846,3.0,0
263,Apical,0.028128877698717702,3.0,0
264,Apical,0.015887612838354756,3.0,0
265,Apical,0.01353021629862812,3.0,0
266,Apical,0.006476386216611017,3.0,0
267,Apical,0.014405998570989833,3.0,0
268,Apical,0.009122512950032526,3.0,0
269,Apical,0.03727958144228524,3.0,0
270,Apical,0.010762150054224371,3.0,0
271,Apical,0.026526042738563765,4.0,0
272,Apical,0.04425246410483646,4.0,0
273,Apical,0.042683545656030275,4.0,0
274,Apical,0.7649119841332584,4.0,0
275,Apical,0.243051821786409,4.0,0
276,Apical,0.06418550808936774,4.0,0
277,Apical,0.09314046953082543,4.0,0
278,Apical,0.08902875785137007,4.0,0
279,Apical,0.08575067791839475,4.0,0
280,Apical,0.15082662109476044,4.0,0
281,Apical,0.261530971203813,4.0,0
282,Apical,0.016242873259942302,4.0,0
283,Apical,0.028420648628547217,4.0,0
284,Apical,0.024785043128812884,4.0,0
285,Apical,0.02021786862858189,4.0,0
286,Apical,0.015977975838151595,4.0,0
287,Apical,0.07180214345357457,4.0,0
289,Apical,0.017119750331735732,4.0,0
290,Apical,0.018552316280515933,4.0,0
291,Apical,0.035548479568667975,4.0,0
292,Apical,0.038088117491472985,4.0,0
293,Apical,0.18286691283415232,4.0,0
294,Apical,0.05463580627094971,4.0,0
295,Apical,0.20190439039070815,4.0,0
296,Apical,0.018055144330284646,4.0,0
297,Apical,0.021034316468029498,4.0,0
298,Apical,0.1176477983740114,4.0,0
299,Apical,0.023322086355297277,4.0,0
300,Apical,0.023705193118376607,4.0,0
301,Apical,0.034286625320117704,4.0,0
302,Apical,0.02508484866847885,4.0,0
